x m_star m_num
3.600000e-01 6.451841e-01 6.403880e-01
3.800000e-01 6.217485e-01 6.172418e-01
4.000000e-01 5.979671e-01 5.937683e-01
4.200000e-01 5.739462e-01 5.700723e-01
4.400000e-01 5.497896e-01 5.462559e-01
4.600000e-01 5.255975e-01 5.224173e-01
4.800000e-01 5.014659e-01 4.986504e-01
5.000000e-01 4.774864e-01 4.750443e-01
5.200000e-01 4.537452e-01 4.516827e-01
5.400000e-01 4.303228e-01 4.286437e-01
5.600000e-01 4.072942e-01 4.059993e-01
5.800000e-01 3.847277e-01 3.838152e-01
6.000000e-01 3.626854e-01 3.621509e-01
6.200000e-01 3.412228e-01 3.410591e-01
6.400000e-01 3.203889e-01 3.205862e-01
6.600000e-01 3.002261e-01 3.007722e-01
6.800000e-01 2.807700e-01 2.816504e-01
7.000000e-01 2.620501e-01 2.632482e-01
7.200000e-01 2.440897e-01 2.455869e-01
7.400000e-01 2.269060e-01 2.286822e-01
7.600000e-01 2.105105e-01 2.125442e-01
7.800000e-01 1.949096e-01 1.971779e-01
8.000000e-01 1.801042e-01 1.825836e-01
8.200000e-01 1.660910e-01 1.687573e-01
8.400000e-01 1.528620e-01 1.556906e-01
8.600000e-01 1.404056e-01 1.433720e-01
8.800000e-01 1.287066e-01 1.317863e-01
9.000000e-01 1.177467e-01 1.209157e-01
9.200000e-01 1.075048e-01 1.107398e-01
9.400000e-01 9.795770e-02 1.012362e-01
9.600000e-01 8.908008e-02 9.238066e-02
9.800000e-01 8.084516e-02 8.414757e-02
1.000000e+00 7.322491e-02 7.651021e-02
1.020000e+00 6.619042e-02 6.944110e-02
1.040000e+00 5.971216e-02 6.291222e-02
1.060000e+00 5.376032e-02 5.689531e-02
1.080000e+00 4.830503e-02 5.136209e-02
1.100000e+00 4.331659e-02 4.628448e-02
1.120000e+00 3.876569e-02 4.163474e-02
1.140000e+00 3.462361e-02 3.738571e-02
1.160000e+00 3.086231e-02 3.351087e-02
1.180000e+00 2.745465e-02 2.998454e-02
1.200000e+00 2.437446e-02 2.678188e-02
1.220000e+00 2.159660e-02 2.387909e-02
1.240000e+00 1.909708e-02 2.125335e-02
1.260000e+00 1.685312e-02 1.888296e-02
1.280000e+00 1.484311e-02 1.674734e-02
1.300000e+00 1.304671e-02 1.482700e-02
1.320000e+00 1.144480e-02 1.310363e-02
1.340000e+00 1.001953e-02 1.156004e-02
1.360000e+00 8.754219e-03 1.018013e-02
1.380000e+00 7.633418e-03 8.948926e-03
1.400000e+00 6.642814e-03 7.852503e-03
1.420000e+00 5.769213e-03 6.877963e-03
1.440000e+00 5.000489e-03 6.013398e-03
1.460000e+00 4.325534e-03 5.247843e-03
1.480000e+00 3.734208e-03 4.571231e-03
1.500000e+00 3.217278e-03 3.974347e-03
1.520000e+00 2.766369e-03 3.448777e-03
1.540000e+00 2.373904e-03 2.986859e-03
1.560000e+00 2.033047e-03 2.581634e-03
1.580000e+00 1.737654e-03 2.226801e-03
1.600000e+00 1.482212e-03 1.916665e-03
1.620000e+00 1.261795e-03 1.646093e-03
1.640000e+00 1.072010e-03 1.410471e-03
1.660000e+00 9.089508e-04 1.205660e-03
1.680000e+00 7.691538e-04 1.027958e-03
1.700000e+00 6.495573e-04 8.740596e-04
1.720000e+00 5.474609e-04 7.410203e-04
1.740000e+00 4.604899e-04 6.262250e-04
1.760000e+00 3.865615e-04 5.273549e-04
1.780000e+00 3.238534e-04 4.423590e-04
1.800000e+00 2.707757e-04 3.694271e-04
1.820000e+00 2.259449e-04 3.069653e-04
1.840000e+00 1.881597e-04 2.535727e-04
1.860000e+00 1.563803e-04 2.080210e-04
1.880000e+00 1.297087e-04 1.692358e-04
1.900000e+00 1.073711e-04 1.362787e-04
1.920000e+00 8.870276e-05 1.083324e-04
1.940000e+00 7.313382e-05 8.468615e-05
1.960000e+00 6.017705e-05 6.472369e-05
1.980000e+00 4.941683e-05 4.791148e-05
2.000000e+00 4.049955e-05 4.049955e-05
